,Melanosuchus niger,Caiman yacare,Caiman crocodilus,Caiman latirostris,Paleosuchus palpebrosus,Paleosuchus trigonatus,Alligator mississippiensis,Crocodylus moreletii,Crocodylus rhombifer,Crocodylus intermedius,Crocodylus acutus
Melanosuchus niger,1,0.192501561,0.24964291,0.117463902,0.152444246,0.379629572,0.00842103,0.28071884,0.056376648,0.097361918,0.156437363
Caiman yacare,0.096734797,1,0.169145582,0.237218636,0.206072221,0.16079283,0.168519021,0.266760599,0.036386501,0.028865777,0.138917501
Caiman crocodilus,0.118084945,0.074841568,1,0.101925981,0.26113762,0.372119822,0.006217069,0.223808515,0.043726593,0.124172296,0.382069872
Caiman latirostris,0.055780773,0.109434138,0.041292857,1,0.142451371,0.133317145,0.218308926,0.209382246,0.034459566,0.052082784,0.161813523
Paleosuchus palpebrosus,0.057273638,0.083886891,0.127986575,0.05739029,1,0.228577704,0.058841842,0.210236938,0.020877571,0.182149788,0.230833477
Paleosuchus trigonatus,0.189913454,0.063219556,0.206927725,0.061602311,0.103356833,1,0.02120443,0.282525127,0.081835299,0.226575132,0.228902716
Alligator mississippiensis,0.004122122,0.091993119,0.003746527,0.076050113,0.026889648,0.011740579,1,0.043810609,0,0,0.07877501
Crocodylus moreletii,0.132604249,0.114961505,0.098256765,0.085524728,0.084027155,0.123124889,0.022081124,1,0.059491075,0.071299722,0.246744249
Crocodylus rhombifer,0.00622861,0.003016872,0.014343165,0.001788245,0.000863837,0.023346321,0,0.007467209,1,0,0.030558862
Crocodylus intermedius,0.053567294,0.015000719,0.036455019,0.023387978,0.054687969,0.121389951,0,0.032154905,0,1,0.098905168
Crocodylus acutus,0.058419726,0.042187102,0.201265019,0.064607325,0.101897034,0.089900701,0.038143269,0.117622753,0.003023488,0.01838361,1
